*** COUNTS ***
1072×2 DataFrame
  Row │ DP                              N
      │ String31                        Int64
──────┼───────────────────────────────────────
    1 │ 2006                                1
    2 │ 2006 Feb                            7
    3 │ 2019                                4
    4 │ 2019 Aug                            1
    5 │ 2019 Aug 30                         1
    6 │ 2019 Dec                            4
    7 │ 2019 Dec 1                          1
    8 │ 2019 Dec 5                          1
    9 │ 2019 Jan 1                          1
   10 │ 2019 Jan-Mar                        1
   11 │ 2019 Jun                            1
   12 │ 2019 May-Jun                        1
   13 │ 2019 Nov                            2
   14 │ 2019 Oct                            2
   15 │ 2019 Oct-Dec                        2
   16 │ 2019 Sep                            1
   17 │ 2019 Sep-Oct                        1
   18 │ 2020                             6763
   19 │ 2020 Ago                           12
   20 │ 2020 Ahead Of Print Jun 1           1
   21 │ 2020 Ahead of print Jun 1           7
   22 │ 2020 Apr                          728
   23 │ 2020 Apr - Jun                      9
   24 │ 2020 Apr - May                      2
   25 │ 2020 Apr 1                         78
   26 │ 2020 Apr 10                        38
   27 │ 2020 Apr 11                        19
   28 │ 2020 Apr 12                        16
   29 │ 2020 Apr 13                        15
   30 │ 2020 Apr 14                        48
   31 │ 2020 Apr 15                        34
   32 │ 2020 Apr 16                        28
   33 │ 2020 Apr 17                        30
   34 │ 2020 Apr 18                        32
   35 │ 2020 Apr 19                         5
   36 │ 2020 Apr 2                         32
   37 │ 2020 Apr 20                        38
   38 │ 2020 Apr 21                        51
   39 │ 2020 Apr 22                        38
   40 │ 2020 Apr 23                        41
   41 │ 2020 Apr 24                        44
   42 │ 2020 Apr 25                        24
   43 │ 2020 Apr 26                        14
   44 │ 2020 Apr 27                        36
   45 │ 2020 Apr 28                        49
   46 │ 2020 Apr 29                        38
   47 │ 2020 Apr 3                         33
   48 │ 2020 Apr 30                        80
   49 │ 2020 Apr 4                         23
   50 │ 2020 Apr 5                          2
   51 │ 2020 Apr 6                         47
   52 │ 2020 Apr 7                         30
   53 │ 2020 Apr 8                         33
   54 │ 2020 Apr 9                         30
   55 │ 2020 Apr-Jun                       82
   56 │ 2020 Apr/Jun                        3
   57 │ 2020 Aug                         4103
   58 │ 2020 Aug - Sep                     29
   59 │ 2020 Aug 1                        268
   60 │ 2020 Aug 10                        72
   61 │ 2020 Aug 11                        68
   62 │ 2020 Aug 12                        60
   63 │ 2020 Aug 13                        61
   64 │ 2020 Aug 14                        79
   65 │ 2020 Aug 15                        99
   66 │ 2020 Aug 16                        12
   67 │ 2020 Aug 17                        73
   68 │ 2020 Aug 18                       122
   69 │ 2020 Aug 19                        50
   70 │ 2020 Aug 2                         24
   71 │ 2020 Aug 20                       106
   72 │ 2020 Aug 21                        57
   73 │ 2020 Aug 22                        26
   74 │ 2020 Aug 23                         4
   75 │ 2020 Aug 24                        77
   76 │ 2020 Aug 25                        93
   77 │ 2020 Aug 26                        81
   78 │ 2020 Aug 27                        92
   79 │ 2020 Aug 28                        90
   80 │ 2020 Aug 29                        14
   81 │ 2020 Aug 3                         76
   82 │ 2020 Aug 30                        17
   83 │ 2020 Aug 31                        73
   84 │ 2020 Aug 4                         92
   85 │ 2020 Aug 5                         68
   86 │ 2020 Aug 6                         80
   87 │ 2020 Aug 7                         64
   88 │ 2020 Aug 8                         29
   89 │ 2020 Aug 9                         12
   90 │ 2020 Aug-Oct                       48
   91 │ 2020 Aug-Sep                       21
   92 │ 2020 Aug.                           2
   93 │ 2020 Autumn                        11
   94 │ 2020 Autumn - Winter               18
   95 │ 2020 COVID-19 SPECIAL ISSUE        22
   96 │ 2020 Dec                         4746
   97 │ 2020 Dec 1                        449
   98 │ 2020 Dec 10                        97
   99 │ 2020 Dec 11                        73
  100 │ 2020 Dec 12                        41
  101 │ 2020 Dec 13                        20
  102 │ 2020 Dec 14                        83
  103 │ 2020 Dec 15                       202
  104 │ 2020 Dec 16                        65
  105 │ 2020 Dec 17                       105
  106 │ 2020 Dec 18                        82
  107 │ 2020 Dec 19                        20
  108 │ 2020 Dec 2                         85
  109 │ 2020 Dec 20                        31
  110 │ 2020 Dec 21                        57
  111 │ 2020 Dec 22                        97
  112 │ 2020 Dec 23                        91
  113 │ 2020 Dec 24                        50
  114 │ 2020 Dec 25                        18
  115 │ 2020 Dec 26                        22
  116 │ 2020 Dec 27                        12
  117 │ 2020 Dec 28                        52
  118 │ 2020 Dec 29                        38
  119 │ 2020 Dec 3                         99
  120 │ 2020 Dec 30                        65
  121 │ 2020 Dec 31                       134
  122 │ 2020 Dec 4                         79
  123 │ 2020 Dec 5                         29
  124 │ 2020 Dec 6                         26
  125 │ 2020 Dec 7                         82
  126 │ 2020 Dec 8                         48
  127 │ 2020 Dec 9                         88
  128 │ 2020 Dec.                           4
  129 │ 2020 Fall                          63
  130 │ 2020 Feb                           60
  131 │ 2020 Feb & Mar                     20
  132 │ 2020 Feb 1                          1
  133 │ 2020 Feb 10                         6
  134 │ 2020 Feb 12                         4
  135 │ 2020 Feb 13                         1
  136 │ 2020 Feb 14                         3
  137 │ 2020 Feb 15                         7
  138 │ 2020 Feb 17                         1
  139 │ 2020 Feb 18                         1
  140 │ 2020 Feb 19                         5
  141 │ 2020 Feb 2                          1
  142 │ 2020 Feb 20                        11
  143 │ 2020 Feb 21                         4
  144 │ 2020 Feb 22                        10
  145 │ 2020 Feb 24                         9
  146 │ 2020 Feb 25                         8
  147 │ 2020 Feb 26                         3
  148 │ 2020 Feb 27                         7
  149 │ 2020 Feb 28                        10
  150 │ 2020 Feb 29                        16
  151 │ 2020 Feb 3                          1
  152 │ 2020 Feb 4                          2
  153 │ 2020 Feb 5                          2
  154 │ 2020 Feb 6                          2
  155 │ 2020 Feb 7                          2
  156 │ 2020 Feb 8                          3
  157 │ 2020 Jan                           29
  158 │ 2020 Jan - Feb                     10
  159 │ 2020 Jan 1                         16
  160 │ 2020 Jan 22                         1
  161 │ 2020 Jan 24                         1
  162 │ 2020 Jan 27                         1
  163 │ 2020 Jan 28                         6
  164 │ 2020 Jan 29                         1
  165 │ 2020 Jan 31                         3
  166 │ 2020 Jan 6                          1
  167 │ 2020 Jan- Mar                       1
  168 │ 2020 Jan-Apr                        5
  169 │ 2020 Jan-Dec                      196
  170 │ 2020 Jan-Feb                        4
  171 │ 2020 Jan-Jun                       29
  172 │ 2020 Jan-Mar                       15
  173 │ 2020 Jul                         4149
  174 │ 2020 Jul & Aug                     41
  175 │ 2020 Jul - Aug                    224
  176 │ 2020 Jul - Sep                     21
  177 │ 2020 Jul 1                        329
  178 │ 2020 Jul 10                        66
  179 │ 2020 Jul 11                        19
  180 │ 2020 Jul 12                         6
  181 │ 2020 Jul 13                        69
  182 │ 2020 Jul 14                       108
  183 │ 2020 Jul 15                       160
  184 │ 2020 Jul 16                        58
  185 │ 2020 Jul 17                        84
