*** COUNTS ***
7251×2 DataFrame
  Row │ TA                                 N
      │ String?                            Int64
──────┼──────────────────────────────────────────
    1 │ Int J Environ Res Public Health     3773
    2 │ PLoS One                            3009
    3 │ Sci Rep                             1575
    4 │ Cureus                              1505
    5 │ Front Public Health                 1461
    6 │ J Med Virol                         1422
    7 │ Front Psychol                       1175
    8 │ BMJ Open                            1098
    9 │ Int J Infect Dis                    1009
   10 │ Front Immunol                       1006
   11 │ Lancet                               987
   12 │ Clin Infect Dis                      968
   13 │ BMJ                                  939
   14 │ J Clin Med                           843
   15 │ N Engl J Med                         797
   16 │ Vaccines (Basel)                     796
   17 │ Front Med (Lausanne)                 785
   18 │ Nature                               762
   19 │ Viruses                              749
   20 │ JAMA                                 694
   21 │ J Infect                             678
   22 │ J Med Internet Res                   675
   23 │ Sci Total Environ                    655
   24 │ Front Psychiatry                     637
   25 │ JAMA Netw Open                       627
   26 │ BMC Public Health                    580
   27 │ Science                              517
   28 │ Nat Commun                           512
   29 │ Int J Mol Sci                        505
   30 │ BMC Infect Dis                       497
   31 │ Medicine (Baltimore)                 483
   32 │ Vaccine                              480
   33 │ Lancet Infect Dis                    471
   34 │ BMJ Case Rep                         462
   35 │ Emerg Infect Dis                     458
   36 │ Am J Emerg Med                       457
   37 │ Pan Afr Med J                        453
   38 │ Disaster Med Public Health Prep      449
   39 │ Healthcare (Basel)                   447
   40 │ Crit Care                            443
   41 │ Dermatol Ther                        443
   42 │ Med Hypotheses                       440
   43 │ Eur Rev Med Pharmacol Sci            439
   44 │ Ann Intern Med                       433
   45 │ Indian J Ophthalmol                  410
   46 │ Proc Natl Acad Sci U S A             409
   47 │ MMWR Morb Mortal Wkly Rep            408
   48 │ Nutrients                            389
   49 │ Am J Public Health                   382
   50 │ J Infect Dis                         380
   51 │ Clin Microbiol Infect                378
   52 │ Lancet Respir Med                    370
   53 │ Hum Vaccin Immunother                366
   54 │ Infect Control Hosp Epidemiol        363
   55 │ Diabetes Metab Syndr                 356
   56 │ BMJ Glob Health                      349
   57 │ J Eur Acad Dermatol Venereol         343
   58 │ Am J Trop Med Hyg                    342
   59 │ Int J Clin Pract                     339
   60 │ Br J Surg                            338
   61 │ J Biomol Struct Dyn                  334
   62 │ Asian J Psychiatr                    326
   63 │ Acta Biomed                          326
   64 │ Environ Sci Pollut Res Int           318
   65 │ Trials                               305
   66 │ Environ Res                          304
   67 │ J Infect Public Health               303
   68 │ Psychiatry Res                       302
   69 │ J Gen Intern Med                     302
   70 │ J Public Health (Oxf)                297
   71 │ Rev Med Suisse                       296
   72 │ Euro Surveill                        295
   73 │ J Am Acad Dermatol                   293
   74 │ CMAJ                                 293
   75 │ Front Pharmacol                      291
   76 │ World Neurosurg                      290
   77 │ J Clin Virol                         286
   78 │ Heliyon                              285
   79 │ Travel Med Infect Dis                282
   80 │ J Glob Health                        282
   81 │ Open Forum Infect Dis                280
   82 │ Nat Med                              278
   83 │ JMIR Public Health Surveill          278
   84 │ J Korean Med Sci                     276
   85 │ Public Health                        274
   86 │ J Am Geriatr Soc                     274
   87 │ Ann Med Surg (Lond)                  271
   88 │ J Affect Disord                      267
   89 │ J Hosp Infect                        266
   90 │ Epidemiol Infect                     265
   91 │ Am J Infect Control                  264
   92 │ Chest                                264
   93 │ Eur Respir J                         255
   94 │ Neurol Sci                           253
   95 │ Ann Rheum Dis                        253
   96 │ Comput Biol Med                      249
   97 │ Mayo Clin Proc                       248
   98 │ Am J Respir Crit Care Med            245
   99 │ J Family Med Prim Care               242
  100 │ Emerg Microbes Infect                242
  101 │ Medicina (Kaunas)                    239
  102 │ Diagnostics (Basel)                  230
  103 │ Pediatr Infect Dis J                 230
  104 │ J Am Med Dir Assoc                   230
  105 │ Acad Med                             228
  106 │ Signal Transduct Target Ther         224
  107 │ Br J Anaesth                         223
  108 │ Am J Transplant                      221
  109 │ Lancet Glob Health                   220
  110 │ Sensors (Basel)                      219
  111 │ J Clin Microbiol                     218
  112 │ Intensive Care Med                   218
  113 │ J Travel Med                         217
  114 │ SN Compr Clin Med                    216
  115 │ Intern Emerg Med                     215
  116 │ Br J Haematol                        214
  117 │ Med Clin (Barc)                      212
  118 │ S Afr Med J                          212
  119 │ EBioMedicine                         211
  120 │ Molecules                            209
  121 │ Int Immunopharmacol                  209
  122 │ Clin Med (Lond)                      207
  123 │ Front Pediatr                        207
  124 │ Clin Case Rep                        207
  125 │ Med J Aust                           204
  126 │ Postgrad Med J                       202
  127 │ Mult Scler Relat Disord              200
  128 │ Rev Assoc Med Bras (1992)            200
  129 │ J Infect Dev Ctries                  200
  130 │ Telemed J E Health                   198
  131 │ Risk Manag Healthc Policy            196
  132 │ Gastroenterology                     196
  133 │ Chaos Solitons Fractals              196
  134 │ Pediatrics                           195
  135 │ QJM                                  195
  136 │ Front Neurol                         193
  137 │ Cells                                192
  138 │ Curr Psychol                         192
  139 │ Cell                                 189
  140 │ J Assoc Physicians India             188
  141 │ Crit Care Med                        188
  142 │ Soc Sci Med                          187
  143 │ Front Cell Infect Microbiol          184
  144 │ J Neurol                             183
  145 │ Otolaryngol Head Neck Surg           182
  146 │ J Allergy Clin Immunol Pract         182
  147 │ Eur Heart J                          179
  148 │ Thromb Res                           178
  149 │ BMC Health Serv Res                  177
  150 │ Ann Surg                             176
  151 │ JAMA Intern Med                      176
  152 │ Infection                            174
  153 │ Acta Paediatr                        174
  154 │ F1000Res                             168
  155 │ Anesth Analg                         168
  156 │ Clin Chem Lab Med                    166
  157 │ Lancet Psychiatry                    165
  158 │ JAMA Pediatr                         164
  159 │ Psychol Trauma                       164
  160 │ Am J Obstet Gynecol                  164
  161 │ Biosens Bioelectron                  162
  162 │ Aging (Albany NY)                    162
  163 │ J Virol Methods                      160
  164 │ J Card Surg                          160
  165 │ Indian J Med Res                     158
  166 │ J Thromb Haemost                     157
  167 │ Int J Gynaecol Obstet                156
  168 │ BMC Med Educ                         156
  169 │ Tidsskr Nor Laegeforen               155
  170 │ Kidney Int                           155
  171 │ Eur J Intern Med                     154
  172 │ J Coll Physicians Surg Pak           153
  173 │ EClinicalMedicine                    153
  174 │ BMC Med                              153
  175 │ J Prim Care Community Health         152
  176 │ Front Cardiovasc Med                 152
  177 │ Eur Arch Otorhinolaryngol            152
  178 │ World J Clin Cases                   152
  179 │ Adv Exp Med Biol                     152
  180 │ Allergy                              150
  181 │ PeerJ                                150
  182 │ J Infect Chemother                   150
  183 │ Brain Behav Immun                    150
  184 │ Microbiol Spectr                     150
  185 │ Br J Nurs                            149
  186 │ Int J Surg                           149
  187 │ Indian J Crit Care Med               149
  188 │ J Thromb Thrombolysis                149
  189 │ Intern Med J                         149
  190 │ Infect Dis (Lond)                    148
  191 │ Pathogens                            147
  192 │ Transfusion                          147
  193 │ Diabetes Res Clin Pract              146
  194 │ J Adolesc Health                     146
  195 │ Am J Otolaryngol                     145
  196 │ Circulation                          145
  197 │ Anaesthesia                          144
  198 │ Radiology                            143
  199 │ J Cardiothorac Vasc Anesth           143
  200 │ Pediatr Blood Cancer                 143
  201 │ Pers Individ Dif                     142
  202 │ Biomed Pharmacother                  141
  203 │ Elife                                141
  204 │ Int J Health Plann Manage            140
  205 │ Pediatr Pulmonol                     140
  206 │ J Clin Invest                        140
  207 │ PLoS Pathog                          140
  208 │ Clin Imaging                         138
  209 │ Psychiatr Danub                      138
  210 │ J Stroke Cerebrovasc Dis             137
  211 │ Front Microbiol                      137
  212 │ JMIR Form Res                        137
  213 │ Infect Genet Evol                    137
  214 │ Acta Med Port                        136
  215 │ Eur J Neurol                         135
  216 │ Brief Bioinform                      134
  217 │ Biomed Res Int                       134
  218 │ J Occup Environ Med                  134
  219 │ J Psychiatr Res                      134
  220 │ Transpl Infect Dis                   134
  221 │ Int J Antimicrob Agents              134
  222 │ Ir J Med Sci                         132
  223 │ Prim Care Companion CNS Disord       132
  224 │ Indian J Otolaryngol Head Neck S…    132
  225 │ Stroke                               131
  226 │ J Cosmet Dermatol                    131
  227 │ J Med Ethics                         130
  228 │ Am J Case Rep                        130
  229 │ Work                                 130
  230 │ Am J Nurs                            130
  231 │ Rev Med Virol                        129
  232 │ Cell Rep                             129
  233 │ Cad Saude Publica                    129
  234 │ J Plast Reconstr Aesthet Surg        129
  235 │ Health Aff (Millwood)                129
  236 │ Diagn Microbiol Infect Dis           128
  237 │ mBio                                 128
  238 │ J Pediatr                            127
  239 │ Lancet Public Health                 127
  240 │ Neurology                            127
  241 │ Int J Dermatol                       126
  242 │ Clinics (Sao Paulo)                  126
  243 │ Indian Pediatr                       125
  244 │ Turk J Med Sci                       125
  245 │ Eur J Clin Invest                    124
  246 │ Anaesth Crit Care Pain Med           124
  247 │ J Formos Med Assoc                   124
  248 │ Indian J Pediatr                     123
  249 │ J Am Med Inform Assoc                122
  250 │ Stud Health Technol Inform           122
  251 │ Rev Soc Bras Med Trop                121
  252 │ Data Brief                           121
  253 │ Zhonghua Liu Xing Bing Xue Za Zhi    120
  254 │ Br J Gen Pract                       120
  255 │ Am J Bioeth                          120
  256 │ Rev Esp Salud Publica                120
  257 │ BMC Psychiatry                       120
  258 │ Vet Rec                              120
  259 │ Transplantation                      120
  260 │ Financ Res Lett                      119
  261 │ J Allergy Clin Immunol               119
  262 │ Swiss Med Wkly                       119
  263 │ Acad Radiol                          118
  264 │ Pol Arch Intern Med                  118
  265 │ Cien Saude Colet                     118
  266 │ Ann Acad Med Singap                  118
  267 │ J Paediatr Child Health              118
  268 │ J Pers Med                           117
  269 │ Transfus Apher Sci                   117
  270 │ Front Endocrinol (Lausanne)          117
  271 │ Ann Am Thorac Soc                    116
  272 │ J Racial Ethn Health Disparities     116
  273 │ IEEE Access                          116
  274 │ Arch Dis Child                       115
  275 │ Eur Radiol                           115
  276 │ Asia Pac J Public Health             115
  277 │ J Am Coll Cardiol                    115
  278 │ Microorganisms                       114
  279 │ Life Sci                             114
  280 │ Int J Soc Psychiatry                 114
  281 │ J Pain Symptom Manage                113
  282 │ Rev Bras Enferm                      113
  283 │ Clin Immunol                         113
  284 │ Clin Exp Dermatol                    113
  285 │ Am J Health Syst Pharm               112
  286 │ Respir Med                           112
  287 │ J R Soc Med                          111
  288 │ Prev Med                             111
  289 │ Ann Palliat Med                      110
  290 │ Med Sci Monit                        110
  291 │ Int J Gen Med                        109
  292 │ Int J Ment Health Addict             109
  293 │ PLoS Comput Biol                     108
  294 │ Medicina (B Aires)                   108
  295 │ Oral Dis                             107
  296 │ J Neurol Sci                         107
  297 │ AJR Am J Roentgenol                  107
  298 │ Can J Anaesth                        106
  299 │ Emerg Med J                          106
  300 │ Infect Drug Resist                   106
  301 │ Front Physiol                        105
  302 │ Ann Transl Med                       105
  303 │ Dig Liver Dis                        105
  304 │ JMIR Res Protoc                      105
  305 │ J Microbiol Immunol Infect           105
  306 │ Clin Chim Acta                       104
  307 │ Am J Gastroenterol                   104
  308 │ Radiol Case Rep                      104
  309 │ J Transl Med                         103
  310 │ Head Neck                            103
  311 │ Am J Obstet Gynecol MFM              103
  312 │ J Relig Health                       103
  313 │ Can J Public Health                  103
  314 │ Inform Med Unlocked                  103
  315 │ Lancet Child Adolesc Health          102
  316 │ Epidemiol Prev                       102
  317 │ Eur J Nucl Med Mol Imaging           102
  318 │ Gut                                  102
  319 │ Monaldi Arch Chest Dis               102
  320 │ Sleep Med                            102
  321 │ Clin Epidemiol Glob Health           102
  322 │ Anal Chem                            102
  323 │ J Subst Abuse Treat                  101
  324 │ Resuscitation                        101
  325 │ IDCases                              101
  326 │ Eur J Clin Microbiol Infect Dis      101
  327 │ Rheumatol Int                        101
  328 │ J Intern Med                         100
  329 │ Results Phys                         100
  330 │ J Laryngol Otol                      100
  331 │ J Virol                              100
  332 │ Eur J Cancer                         100
  333 │ Ocul Immunol Inflamm                 100
