*** COUNTS ***
278×2 DataFrame
 Row │ DP               N
     │ String15         Int64
─────┼────────────────────────
   1 │ 2021                43
   2 │ 2021 Nov            27
   3 │ 2020 Oct            24
   4 │ 2022 Feb            22
   5 │ 2021 Oct            21
   6 │ 2020 Dec            20
   7 │ 2022 Apr            20
   8 │ 2022 Mar            19
   9 │ 2020 Jul            18
  10 │ 2022 Jan            18
  11 │ 2021 Dec            17
  12 │ 2020                17
  13 │ 2021 Apr            16
  14 │ 2022                15
  15 │ 2020 Nov            15
  16 │ 2021 Feb            14
  17 │ 2021 Mar            14
  18 │ 2021 Sep            13
  19 │ 2020 Aug            13
  20 │ 2020 Jun            11
  21 │ 2021 Aug            11
  22 │ 2020 Sep            11
  23 │ 2021 Jan            10
  24 │ 2021 Jul             9
  25 │ 2021 May             8
  26 │ 2020 Jul 15          7
  27 │ 2021 Oct 1           6
  28 │ 2021 Jun             6
  29 │ 2022 Feb 1           5
  30 │ 2022 Mar 14          5
  31 │ 2021 Dec 2           5
  32 │ 2020 May             5
  33 │ 2022 Feb 21          4
  34 │ 2021 Aug 16          4
  35 │ 2021 Jul-Aug         4
  36 │ 2022 May             4
  37 │ 2022 Mar 15          4
  38 │ 2021 Jan-Dec         4
  39 │ 2021 Aug 10          4
  40 │ 2021 Aug 1           4
  41 │ 2021 Mar 1           3
  42 │ 2020 Jun 7           3
  43 │ 2021 Dec 20          3
  44 │ 2020 Sep 15          3
  45 │ 2021 Jan 1           3
  46 │ 2021 Dec 1           3
  47 │ 2022 Apr 12          3
  48 │ 2022 Mar 25          3
  49 │ 2020 Oct 27          3
  50 │ 2020 Aug 1           3
  51 │ 2020 Nov 1           3
  52 │ 2020 Oct 23          2
  53 │ 2021 May 4           2
  54 │ 2021 Jan 11          2
  55 │ 2022 Mar 2           2
  56 │ 2021 Jul 8           2
  57 │ 2020 Oct 14          2
  58 │ 2021 Oct 7           2
  59 │ 2021 Nov 19          2
  60 │ 2022 Jun             2
  61 │ 2021 Dec 3           2
  62 │ 2020 Jul-Sep         2
  63 │ 2020 Nov 2           2
  64 │ 2021 Jul 1           2
  65 │ 2021 Oct 11          2
  66 │ 2021 Apr 1           2
  67 │ 2022 Jan 27          2
  68 │ 2022 Apr 5           2
  69 │ 2021 Sep 28          2
  70 │ 2021 Dec 16          2
  71 │ 2022 Feb 23          2
  72 │ 2021 Jul 27          2
  73 │ 2020 Jul 1           2
  74 │ 2021 Sep 16          2
  75 │ 2020 Jan - Feb       2
  76 │ 2022 Mar 1           2
  77 │ 2021 Feb 1           2
  78 │ 2020 May 29          2
  79 │ 2021 Oct 8           2
  80 │ 2022 Apr 4           2
  81 │ 2020 Oct 1           2
  82 │ 2022 May 1           2
  83 │ 2021 Jul 26          2
  84 │ 2021 Mar 16          2
  85 │ 2021 Jun 10          2
  86 │ 2022 Apr 1           2
  87 │ 2021 Sep-Oct         2
  88 │ 2022 Feb 25          2
  89 │ 2021 Nov 5           2
  90 │ 2021 Dec 17          2
  91 │ 2022 Feb 10          2
  92 │ 2020 Nov - Dec       2
  93 │ 2022 Feb 17          2
  94 │ 2020 Feb             2
  95 │ 2021 Aug 23          2
  96 │ 2021 Nov-Dec         2
  97 │ 2022 Jan 24          2
  98 │ 2020 May 14          2
  99 │ 2021 Nov 1           2
 100 │ 2020 Sep 1           2
 101 │ 2021 Jun 1           2
 102 │ 2020 Jun 9           2
 103 │ 2021 Jul-Sep         2
 104 │ 2021 Sep 1           2
 105 │ 2020 Aug 18          2
 106 │ 2022 Mar 31          2
 107 │ 2021 Mar-Apr         1
 108 │ 2020 Jun 3           1
 109 │ 2020 Sep 18          1
 110 │ 2020 Oct 18          1
 111 │ 2021 Jul 2           1
 112 │ 2021 Sep 8           1
 113 │ 2021 Sep 15          1
 114 │ 2022 Apr 11          1
 115 │ 2021 Aug 4           1
 116 │ 2022 Mar 21          1
 117 │ 2021 Mar 2           1
 118 │ 2021 Apr 13          1
 119 │ 2021 Jan 5           1
 120 │ 2021 Apr 3           1
 121 │ 2020 Nov 24          1
 122 │ 2020 Apr             1
 123 │ 2021 Apr 27          1
 124 │ 2021 Sep 30          1
 125 │ 2021 Jul 20          1
 126 │ 2020 Jul 7           1
