PMID|DCOM|DP|REC|ACC|PM
33463366|20210405|2021 Jan|N/A|N/A|2021/01/20
32967937|20201117|2020 Oct 23|N/A|N/A|2020/09/25
34812930|20220214|2022 Feb|2021/09/27|2021/11/16|2021/11/24
33631340|20210427|2021 Mar-Apr|2020/10/26|2021/02/09|2021/02/26
32835268|N/A|2020 Jul 15|2020/05/06|2020/05/27|2020/08/25
34723680|20211203|2021 Nov|N/A|N/A|2021/11/02
34289133|20211108|2021 Nov|2021/05/14|2021/07/18|2021/07/22
35075640|20220301|2022 Feb 21|N/A|N/A|2022/01/26
32642342|N/A|2020 Jun 3|N/A|N/A|2020/07/10
34851769|20211203|2021 Nov|N/A|N/A|2021/12/02
32943503|20201201|2020 Sep 18|N/A|N/A|2020/09/19
32601020|20200818|2020 Jul|2020/04/21|2020/05/07|2020/07/01
33268052|N/A|2020 Oct 18|2020/09/16|2020/10/08|2020/12/04
33898039|N/A|2021 May|2021/03/19|2021/04/12|2021/04/27
34695853|20211029|2021 Oct|N/A|N/A|2021/10/26
33902408|20211105|2021|2020/09/23|2021/02/12|2021/04/28
34980975|N/A|2022 Feb|2021/11/07|2021/12/20|2022/01/05
34215924|N/A|2021 Jul 2|N/A|2021/06/09|2021/07/04
34573988|N/A|2021 Sep 8|2021/08/14|2021/09/07|2021/09/29
34224766|20210908|2021 Sep 15|2021/05/12|2021/06/30|2021/07/06
35317093|N/A|2022 Feb|2021/12/06|2021/01/25|2022/03/24
35410884|20220413|2022 Apr 11|N/A|N/A|2022/04/13
33724865|20210517|2021 May 4|N/A|N/A|2021/03/17
32360242|20200617|2020 Jun|2020/03/19|2020/03/19|2020/05/04
34839301|20211223|2022 Feb 1|N/A|N/A|2021/11/29
33303102|20201223|2020 Dec|2020/08/24|2020/10/13|2020/12/12
33431479|20210118|2021 Jan 11|N/A|N/A|2021/01/13
34745619|N/A|2021 Oct|2021/08/16|2021/10/08|2021/11/09
34671829|20211216|2021 Dec|2021/06/09|2021/09/18|2021/10/22
34348657|20210811|2021 Aug 4|2021/05/18|2021/07/27|2021/08/06
35325848|N/A|2022 Mar 21|2022/02/08|2022/03/17|2022/03/25
32562808|20200727|2020 Jun|2020/04/20|2020/05/06|2020/06/21
