*** COUNTS ***
280×2 DataFrame
 Row │ DP               N
     │ String15         Int64
─────┼────────────────────────
   1 │ 2020                17
   2 │ 2020 Apr             1
   3 │ 2020 Apr 9           1
   4 │ 2020 Apr-Jun         1
   5 │ 2020 Aug            13
   6 │ 2020 Aug 1           3
   7 │ 2020 Aug 12          1
   8 │ 2020 Aug 14          1
   9 │ 2020 Aug 18          2
  10 │ 2020 Aug 19          1
  11 │ 2020 Aug 26          1
  12 │ 2020 Aug 3           1
  13 │ 2020 Aug 31          1
  14 │ 2020 Aug 4           1
  15 │ 2020 Dec            20
  16 │ 2020 Dec 15          1
  17 │ 2020 Dec 30          1
  18 │ 2020 Dec 4           1
  19 │ 2020 Dec 9           1
  20 │ 2020 Fall            1
  21 │ 2020 Feb             2
  22 │ 2020 Jan - Feb       2
  23 │ 2020 Jul            18
  24 │ 2020 Jul 1           2
  25 │ 2020 Jul 14          1
  26 │ 2020 Jul 15          7
  27 │ 2020 Jul 21          1
  28 │ 2020 Jul 23          1
  29 │ 2020 Jul 7           1
  30 │ 2020 Jul-Sep         2
  31 │ 2020 Jun            11
  32 │ 2020 Jun 13          1
  33 │ 2020 Jun 15          1
  34 │ 2020 Jun 18          1
  35 │ 2020 Jun 19          1
  36 │ 2020 Jun 21          1
  37 │ 2020 Jun 24          1
  38 │ 2020 Jun 27          1
  39 │ 2020 Jun 3           1
  40 │ 2020 Jun 7           3
  41 │ 2020 Jun 9           2
  42 │ 2020 Mar             1
  43 │ 2020 May             5
  44 │ 2020 May - Jun       1
  45 │ 2020 May 12          1
  46 │ 2020 May 14          2
  47 │ 2020 May 29          2
  48 │ 2020 May 7           1
  49 │ 2020 May 8           1
  50 │ 2020 May 9           1
  51 │ 2020 Nov            15
  52 │ 2020 Nov - Dec       2
  53 │ 2020 Nov 1           3
  54 │ 2020 Nov 10          1
  55 │ 2020 Nov 15          1
  56 │ 2020 Nov 2           2
  57 │ 2020 Nov 22          1
  58 │ 2020 Nov 24          1
  59 │ 2020 Nov 27          1
  60 │ 2020 Nov 9           1
  61 │ 2020 Nov-Dec         1
  62 │ 2020 Nov/Dec         1
  63 │ 2020 Oct            24
  64 │ 2020 Oct - Dec       1
  65 │ 2020 Oct 1           2
  66 │ 2020 Oct 14          2
  67 │ 2020 Oct 15          1
  68 │ 2020 Oct 18          1
  69 │ 2020 Oct 2           1
  70 │ 2020 Oct 23          2
  71 │ 2020 Oct 26          1
  72 │ 2020 Oct 27          3
  73 │ 2020 Oct 29          1
  74 │ 2020 Oct-Dec         1
  75 │ 2020 Sep            11
  76 │ 2020 Sep 1           2
  77 │ 2020 Sep 14          1
  78 │ 2020 Sep 15          3
  79 │ 2020 Sep 17          1
  80 │ 2020 Sep 18          1
  81 │ 2020 Sep 22          1
  82 │ 2020 Sep 25          1
  83 │ 2020 Sep 30          1
  84 │ 2020 Sep 8           1
  85 │ 2020 Sep 9           1
  86 │ 2021                43
  87 │ 2021 Apr            16
  88 │ 2021 Apr 1           2
  89 │ 2021 Apr 13          1
  90 │ 2021 Apr 18          1
  91 │ 2021 Apr 27          1
  92 │ 2021 Apr 3           1
  93 │ 2021 Aug            11
  94 │ 2021 Aug 1           4
  95 │ 2021 Aug 10          4
  96 │ 2021 Aug 14          1
  97 │ 2021 Aug 16          4
  98 │ 2021 Aug 19          1
  99 │ 2021 Aug 2           1
 100 │ 2021 Aug 23          2
 101 │ 2021 Aug 24          1
 102 │ 2021 Aug 28          1
 103 │ 2021 Aug 3           1
 104 │ 2021 Aug 30          1
 105 │ 2021 Aug 4           1
 106 │ 2021 Dec            17
 107 │ 2021 Dec 1           3
 108 │ 2021 Dec 10          1
 109 │ 2021 Dec 13          1
 110 │ 2021 Dec 14          1
 111 │ 2021 Dec 16          2
 112 │ 2021 Dec 17          2
 113 │ 2021 Dec 2           5
 114 │ 2021 Dec 20          3
 115 │ 2021 Dec 21          1
 116 │ 2021 Dec 23          1
 117 │ 2021 Dec 3           2
 118 │ 2021 Dec 30          1
 119 │ 2021 Dec 4           1
 120 │ 2021 Dec 9           1
 121 │ 2021 Feb            14
 122 │ 2021 Feb 1           2
 123 │ 2021 Feb 11          1
 124 │ 2021 Feb 12          1
 125 │ 2021 Feb 26          1
