*** COUNTS ***
445×2 DataFrame
 Row │ PM          N
     │ String15    Int64
─────┼───────────────────
   1 │ 2020/03/07      1
   2 │ 2020/03/17      1
   3 │ 2020/03/24      1
   4 │ 2020/03/29      1
   5 │ 2020/04/01      1
   6 │ 2020/04/04      1
   7 │ 2020/04/05      1
   8 │ 2020/04/08      2
   9 │ 2020/04/09      1
  10 │ 2020/04/10      1
  11 │ 2020/04/11      2
  12 │ 2020/04/12      1
  13 │ 2020/04/14      1
  14 │ 2020/04/16      2
  15 │ 2020/04/17      1
  16 │ 2020/04/22      2
  17 │ 2020/04/23      1
  18 │ 2020/04/25      1
  19 │ 2020/04/27      1
  20 │ 2020/04/28      1
  21 │ 2020/04/29      1
  22 │ 2020/04/30      1
  23 │ 2020/05/01      1
  24 │ 2020/05/02      1
  25 │ 2020/05/04      3
  26 │ 2020/05/05      2
  27 │ 2020/05/06      1
  28 │ 2020/05/07      1
  29 │ 2020/05/10      2
  30 │ 2020/05/11      2
  31 │ 2020/05/14      2
  32 │ 2020/05/15      2
  33 │ 2020/05/16      1
  34 │ 2020/05/18      1
  35 │ 2020/05/19      1
  36 │ 2020/05/20      3
  37 │ 2020/05/21      2
  38 │ 2020/05/23      1
  39 │ 2020/05/26      1
  40 │ 2020/05/29      2
  41 │ 2020/05/30      1
  42 │ 2020/06/01      1
  43 │ 2020/06/03      1
  44 │ 2020/06/06      3
  45 │ 2020/06/07      1
  46 │ 2020/06/09      1
  47 │ 2020/06/10      4
  48 │ 2020/06/11      1
  49 │ 2020/06/12      3
  50 │ 2020/06/13      2
  51 │ 2020/06/17      3
  52 │ 2020/06/20      1
  53 │ 2020/06/21      5
  54 │ 2020/06/23      1
  55 │ 2020/06/25      2
  56 │ 2020/06/27      1
  57 │ 2020/06/28      2
  58 │ 2020/07/01      3
  59 │ 2020/07/02      2
  60 │ 2020/07/04      3
  61 │ 2020/07/09      1
  62 │ 2020/07/10      1
  63 │ 2020/07/13      2
  64 │ 2020/07/14      1
  65 │ 2020/07/15      2
  66 │ 2020/07/16      1
  67 │ 2020/07/17      3
  68 │ 2020/07/21      2
  69 │ 2020/07/22      1
  70 │ 2020/07/23      2
  71 │ 2020/07/24      1
  72 │ 2020/07/25      2
  73 │ 2020/07/28      2
  74 │ 2020/07/29      1
  75 │ 2020/07/30      3
  76 │ 2020/07/31      4
  77 │ 2020/08/01      2
  78 │ 2020/08/05      2
  79 │ 2020/08/06      1
  80 │ 2020/08/09      1
  81 │ 2020/08/10      2
  82 │ 2020/08/11      2
  83 │ 2020/08/14      2
  84 │ 2020/08/15      1
  85 │ 2020/08/17      1
  86 │ 2020/08/18      4
  87 │ 2020/08/20      1
  88 │ 2020/08/21      4
  89 │ 2020/08/24      1
  90 │ 2020/08/25     10
  91 │ 2020/08/28      2
  92 │ 2020/08/29      1
  93 │ 2020/08/31      1
  94 │ 2020/09/01      1
  95 │ 2020/09/03      1
  96 │ 2020/09/04      1
  97 │ 2020/09/06      2
  98 │ 2020/09/10      2
  99 │ 2020/09/11      2
 100 │ 2020/09/12      1
 101 │ 2020/09/16      1
 102 │ 2020/09/18      1
 103 │ 2020/09/19      2
 104 │ 2020/09/22      2
 105 │ 2020/09/23      2
 106 │ 2020/09/24      2
 107 │ 2020/09/25      4
 108 │ 2020/09/26      1
 109 │ 2020/09/29      2
 110 │ 2020/10/01      1
 111 │ 2020/10/06      1
 112 │ 2020/10/08      1
 113 │ 2020/10/11      1
 114 │ 2020/10/13      2
 115 │ 2020/10/14      1
 116 │ 2020/10/16      1
 117 │ 2020/10/17      5
 118 │ 2020/10/19      2
 119 │ 2020/10/20      1
 120 │ 2020/10/22      1
 121 │ 2020/10/23      6
 122 │ 2020/10/24      2
 123 │ 2020/10/26      1
 124 │ 2020/10/28      1
 125 │ 2020/10/29      2
 126 │ 2020/10/30      4
 127 │ 2020/10/31      1
 128 │ 2020/11/01      1
 129 │ 2020/11/03      2
 130 │ 2020/11/07      3
 131 │ 2020/11/10      3
 132 │ 2020/11/11      3
 133 │ 2020/11/12      1
 134 │ 2020/11/13      4
 135 │ 2020/11/15      1
 136 │ 2020/11/16      1
 137 │ 2020/11/17      2
 138 │ 2020/11/18      1
 139 │ 2020/11/19      1
