*** COUNTS ***
823×2 DataFrame
 Row │ PM          N
     │ String15    Int64
─────┼───────────────────
   1 │ 2018/12/07      1
   2 │ 2019/01/01      2
   3 │ 2019/01/30      1
   4 │ 2019/02/15      1
   5 │ 2019/02/23      1
   6 │ 2019/04/05      1
   7 │ 2019/05/01      1
   8 │ 2019/06/22      1
   9 │ 2019/07/26      1
  10 │ 2019/08/03      1
  11 │ 2019/08/31      1
  12 │ 2019/09/01      1
  13 │ 2019/09/19      2
  14 │ 2019/11/19      1
  15 │ 2019/11/20      1
  16 │ 2019/11/22      1
  17 │ 2019/12/01      1
  18 │ 2019/12/12      1
  19 │ 2019/12/19      1
  20 │ 2020/01/01    133
  21 │ 2020/01/15      1
  22 │ 2020/01/17      2
  23 │ 2020/01/18      1
  24 │ 2020/01/21      1
  25 │ 2020/01/22      1
  26 │ 2020/01/23      5
  27 │ 2020/01/24      1
  28 │ 2020/01/25      2
  29 │ 2020/01/26      1
  30 │ 2020/01/28      4
  31 │ 2020/01/29      4
  32 │ 2020/01/30      5
  33 │ 2020/01/31      4
  34 │ 2020/02/01      9
  35 │ 2020/02/02      2
  36 │ 2020/02/03      6
  37 │ 2020/02/06     28
  38 │ 2020/02/07     11
  39 │ 2020/02/08     16
  40 │ 2020/02/09      8
  41 │ 2020/02/10     10
  42 │ 2020/02/11      5
  43 │ 2020/02/12     10
  44 │ 2020/02/13     23
  45 │ 2020/02/14     15
  46 │ 2020/02/15     12
  47 │ 2020/02/16      6
  48 │ 2020/02/18     16
  49 │ 2020/02/19      6
  50 │ 2020/02/20     24
  51 │ 2020/02/23     55
  52 │ 2020/02/24     13
  53 │ 2020/02/25     17
  54 │ 2020/02/26     20
  55 │ 2020/02/27     20
  56 │ 2020/02/28     31
  57 │ 2020/02/29     32
  58 │ 2020/03/01     18
  59 │ 2020/03/03     59
  60 │ 2020/03/04     41
  61 │ 2020/03/05     26
  62 │ 2020/03/07     80
  63 │ 2020/03/08     20
  64 │ 2020/03/09     11
  65 │ 2020/03/10     30
  66 │ 2020/03/11     26
  67 │ 2020/03/12     40
  68 │ 2020/03/13     34
  69 │ 2020/03/14     63
  70 │ 2020/03/15     27
  71 │ 2020/03/17     73
  72 │ 2020/03/18     49
  73 │ 2020/03/19     54
  74 │ 2020/03/20     42
  75 │ 2020/03/21     88
  76 │ 2020/03/22     42
  77 │ 2020/03/23     29
  78 │ 2020/03/24     71
  79 │ 2020/03/25     65
  80 │ 2020/03/26     13
  81 │ 2020/03/27     71
  82 │ 2020/03/28     70
  83 │ 2020/03/29    101
  84 │ 2020/03/30     74
  85 │ 2020/03/31     46
  86 │ 2020/04/01    135
  87 │ 2020/04/02    115
  88 │ 2020/04/03    255
  89 │ 2020/04/04    165
  90 │ 2020/04/05    107
  91 │ 2020/04/06     51
  92 │ 2020/04/07    138
  93 │ 2020/04/08    135
  94 │ 2020/04/09    172
  95 │ 2020/04/10    185
  96 │ 2020/04/11    148
  97 │ 2020/04/12    104
  98 │ 2020/04/13     74
  99 │ 2020/04/14    254
 100 │ 2020/04/15    178
 101 │ 2020/04/16    242
 102 │ 2020/04/17    204
 103 │ 2020/04/18    256
 104 │ 2020/04/19    152
 105 │ 2020/04/20    107
 106 │ 2020/04/21    203
 107 │ 2020/04/22    228
 108 │ 2020/04/23    239
 109 │ 2020/04/24    247
 110 │ 2020/04/25    313
 111 │ 2020/04/26    195
 112 │ 2020/04/27    117
 113 │ 2020/04/28    204
 114 │ 2020/04/29    317
 115 │ 2020/04/30    304
 116 │ 2020/05/01    263
 117 │ 2020/05/02    178
 118 │ 2020/05/03    114
 119 │ 2020/05/04    285
 120 │ 2020/05/05    204
 121 │ 2020/05/06    256
 122 │ 2020/05/07    291
 123 │ 2020/05/08    359
 124 │ 2020/05/10    334
 125 │ 2020/05/11    250
 126 │ 2020/05/12    276
 127 │ 2020/05/13    260
 128 │ 2020/05/14    418
 129 │ 2020/05/15    463
 130 │ 2020/05/16    350
 131 │ 2020/05/18    335
 132 │ 2020/05/19    330
 133 │ 2020/05/20    566
 134 │ 2020/05/21    283
 135 │ 2020/05/22    335
 136 │ 2020/05/23    298
 137 │ 2020/05/24    164
 138 │ 2020/05/25    124
 139 │ 2020/05/26    169
