*** COUNTS ***
4732×2 DataFrame
  Row │ DP                 N
      │ String31           Int64
──────┼──────────────────────────
    1 │ 1945                   3
    2 │ 1945 Aug               1
    3 │ 1945 Dec               1
    4 │ 1945 Nov               2
    5 │ 1945 Nov-Dec           1
    6 │ 1946 Apr               2
    7 │ 1946 Apr 24            1
    8 │ 1946 Aug               3
    9 │ 1946 Feb               2
   10 │ 1946 Jan               1
   11 │ 1946 Jul               8
   12 │ 1946 Jun               2
   13 │ 1946 Mar 21            1
   14 │ 1946 May-Jun           1
   15 │ 1946 Oct               3
   16 │ 1946 Oct 10            2
   17 │ 1946 Sep               1
   18 │ 1946-1947              1
   19 │ 1947                   1
   20 │ 1947 Apr               2
   21 │ 1947 Apr 1             1
   22 │ 1947 Apr-Jun           1
   23 │ 1947 Aug               2
   24 │ 1947 Aug 11            2
   25 │ 1947 Aug 15            1
   26 │ 1947 Dec               3
   27 │ 1947 Dec 1             1
   28 │ 1947 Dec 13            1
   29 │ 1947 Dec 4             1
   30 │ 1947 Feb               2
   31 │ 1947 Jan               4
   32 │ 1947 Jan 1-15          1
   33 │ 1947 Jul               4
   34 │ 1947 Jul 26            1
   35 │ 1947 Jun               2
   36 │ 1947 Jun 14            1
   37 │ 1947 Jun 2             1
   38 │ 1947 Jun 7             1
   39 │ 1947 Mar               2
   40 │ 1947 Mar 1             1
   41 │ 1947 May               1
   42 │ 1947 May 15            1
   43 │ 1947 May 3             1
   44 │ 1947 Nov               2
   45 │ 1947 Oct               3
   46 │ 1947 Oct 1             1
   47 │ 1947 Oct 15            1
   48 │ 1947 Oct 4             1
   49 │ 1947 Sep               2
   50 │ 1947 Sep 1             1
   51 │ 1947 Sep-Oct           1
   52 │ 1948                   3
   53 │ 1948 Apr               4
   54 │ 1948 Aug               1
   55 │ 1948 Aug 4             1
   56 │ 1948 Dec               2
   57 │ 1948 Dec 9             1
   58 │ 1948 Feb               2
   59 │ 1948 Feb 1             1
   60 │ 1948 Jan               5
   61 │ 1948 Jul               1
   62 │ 1948 Jul 1             1
   63 │ 1948 Jun 11            1
   64 │ 1948 Mar               1
   65 │ 1948 Mar 13            1
   66 │ 1948 May               2
   67 │ 1948 May 15            2
   68 │ 1948 May-Aug           1
   69 │ 1948 May-Jun           1
   70 │ 1948 Nov               1
   71 │ 1948 Nov-Dec           1
   72 │ 1948 Oct               1
   73 │ 1948 Sep               6
   74 │ 1948-1949              1
   75 │ 1949                   1
   76 │ 1949 Apr               2
   77 │ 1949 Aug               1
   78 │ 1949 Dec               1
   79 │ 1949 Feb               1
   80 │ 1949 Feb 1             2
   81 │ 1949 Feb 2             1
   82 │ 1949 Jan               1
   83 │ 1949 Jul               3
   84 │ 1949 Jun               3
   85 │ 1949 Mar               3
   86 │ 1949 Mar 17            1
   87 │ 1949 May               1
   88 │ 1949 Nov               2
   89 │ 1949 Nov 10            1
   90 │ 1949 Oct               2
   91 │ 1949 Sep               1
   92 │ 1950                   8
   93 │ 1950 Apr               2
   94 │ 1950 Apr 20            1
   95 │ 1950 Apr 21            1
   96 │ 1950 Apr 27            1
   97 │ 1950 Aug               5
   98 │ 1950 Aug 15            1
   99 │ 1950 Dec               2
  100 │ 1950 Dec 10            1
  101 │ 1950 Dec 15            1
  102 │ 1950 Dec 16            1
  103 │ 1950 Dec 21            1
  104 │ 1950 Jan               1
  105 │ 1950 Jan-Feb           1
  106 │ 1950 Jul               4
  107 │ 1950 Jul 15            1
  108 │ 1950 Jul 29            1
  109 │ 1950 Jul 7             1
  110 │ 1950 Jul-Sep           1
  111 │ 1950 Jun               3
  112 │ 1950 Jun 10            1
  113 │ 1950 Mar               1
  114 │ 1950 May 1             1
  115 │ 1950 May 10            1
  116 │ 1950 May 19            1
  117 │ 1950 May 28            1
  118 │ 1950 May 4             1
  119 │ 1950 Nov               4
  120 │ 1950 Nov 24-Dec 1      1
  121 │ 1950 Nov-Dec           1
  122 │ 1950 Oct               2
  123 │ 1950 Oct 26            1
  124 │ 1950 Sep               3
  125 │ 1950 Sep 15            1
  126 │ 1950 Sep 8             1
  127 │ 1950 Sep 9             1
  128 │ 1950 Sep-Oct           2
  129 │ 1951                   6
  130 │ 1951 Apr               3
  131 │ 1951 Apr 27            1
  132 │ 1951 Aug               5
  133 │ 1951 Aug 12            1
  134 │ 1951 Aug 15            1
  135 │ 1951 Aug 25            1
  136 │ 1951 Dec               1
  137 │ 1951 Dec 1             2
  138 │ 1951 Feb               2
  139 │ 1951 Feb 16            1
  140 │ 1951 Feb 24            1
  141 │ 1951 Jan               4
  142 │ 1951 Jan 12            1
  143 │ 1951 Jan 15            1
  144 │ 1951 Jan 19            1
  145 │ 1951 Jan 20            1
  146 │ 1951 Jul               3
  147 │ 1951 Jul 1-15          1
  148 │ 1951 Jul 19            1
  149 │ 1951 Jul 23            1
  150 │ 1951 Jul 26            1
  151 │ 1951 Jul-Aug           2
  152 │ 1951 Jun               5
  153 │ 1951 Jun 1             1
  154 │ 1951 Jun 30            1
  155 │ 1951 Mar               2
  156 │ 1951 Mar 15            2
  157 │ 1951 Mar 8             1
  158 │ 1951 May               6
  159 │ 1951 May 18            1
  160 │ 1951 May 24            1
  161 │ 1951 May-Jun           1
  162 │ 1951 Nov               1
  163 │ 1951 Nov-Dec           1
  164 │ 1951 Oct               1
  165 │ 1951 Oct 13            1
  166 │ 1951 Oct 20            1
  167 │ 1951 Sep 6             1
  168 │ 1951 Sep-Oct           1
  169 │ 1952                   2
  170 │ 1952 Apr               1
  171 │ 1952 Apr 19            1
  172 │ 1952 Aug               4
  173 │ 1952 Dec               2
  174 │ 1952 Dec 1             1
  175 │ 1952 Dec 20            1
  176 │ 1952 Dec 5             1
  177 │ 1952 Feb               3
  178 │ 1952 Feb 10            1
  179 │ 1952 Feb 15            1
  180 │ 1952 Feb 2             1
  181 │ 1952 Feb 23            1
  182 │ 1952 Feb 6             1
  183 │ 1952 Jan               3
  184 │ 1952 Jan 11            1
  185 │ 1952 Jan 11-18         1
  186 │ 1952 Jan 26            1
  187 │ 1952 Jan 31            1
  188 │ 1952 Jul               2
  189 │ 1952 Jul 8             1
  190 │ 1952 Jun               4
  191 │ 1952 Jun 12            1
  192 │ 1952 Mar               3
  193 │ 1952 Mar 21            2
  194 │ 1952 Mar 3             1
  195 │ 1952 Mar-Apr           1
  196 │ 1952 May               5
  197 │ 1952 May 15            1
  198 │ 1952 May 23            1
  199 │ 1952 May 31            1
  200 │ 1952 May-Jun           2
  201 │ 1952 Nov               1
  202 │ 1952 Nov 14            1
  203 │ 1952 Nov 15            1
  204 │ 1952 Nov 30            1
  205 │ 1952 Nov 8             1
  206 │ 1952 Nov-Dec           1
  207 │ 1952 Oct               1
  208 │ 1952 Oct 1             1
