PMID|DCOM|DP|REC|ACC|PM
23515152|20131210|2013 Jan-Feb|N/A|N/A|2013/03/22
1551194|19920424|1992 Apr|N/A|N/A|1992/04/01
26375467|20160602|2015|2015/03/23|2015/08/26|2015/09/17
28707261|20171227|2017 Aug|N/A|N/A|2017/07/15
32021801|N/A|2020|2019/12/30|2020/01/12|2020/02/06
15687129|20050711|2005 Feb 1|N/A|N/A|2005/02/03
13124360|20030501|1954 Feb|N/A|N/A|1954/02/01
35224448|N/A|2022|N/A|2022/02/07|2022/03/01
152515|19790124|1978 Oct|N/A|N/A|1978/10/01
3893740|19850826|1985|N/A|N/A|1985/01/01
26552226|20151209|2015 Jul-Aug|N/A|N/A|2015/11/11
12494020|20031121|2002|N/A|N/A|2002/12/21
22308302|20120501|2012 Mar 13|N/A|N/A|2012/02/07
14265227|19961201|1965 Mar 6|N/A|N/A|1965/03/06
26978534|20170202|2016 May|2015/09/23|2016/02/24|2016/03/16
8395362|19930930|1993 Aug|N/A|N/A|1993/08/01
20676845|20101122|2010 Jul|2009/05/12|2009/07/17|2010/08/03
29528905|20190528|2018 May|N/A|N/A|2018/03/13
28485792|20170731|2017 Apr|N/A|N/A|2017/05/10
29688291|20191129|2018 Oct 1|N/A|N/A|2018/04/25
25819893|20160331|2015|2015/03/04|2015/03/19|2015/03/31
16364467|20070207|2006 Sep 10|2005/09/27|2005/11/04|2005/12/21
4221518|19660312|1965|N/A|N/A|1965/01/01
15098603|20040706|2004 Mar|N/A|N/A|2004/04/22
6711435|19840521|1984 May 1|N/A|N/A|1984/05/01
14448415|19981101|1960 Nov-Dec|N/A|N/A|1960/11/01
811580|19760301|1975 Nov|N/A|N/A|1975/11/01
29396086|20190829|2018 May|2017/09/27|2018/01/08|2018/02/06
3903890|19851209|1985 Jun|N/A|N/A|1985/06/01
13750024|19981101|1961 Apr|N/A|N/A|1961/04/01
23486075|20130918|2013|2012/09/09|2012/12/17|2013/03/15
14499864|20040114|2003 Sep 1|N/A|N/A|2003/09/23
6092735|19841212|1984 Oct|N/A|N/A|1984/10/01
12041632|20020611|2002 Apr 15|2001/11/07|2002/02/28|2002/06/04
5572858|19710619|1971 Feb|N/A|N/A|1971/02/01
25411083|20160630|2015 Jun|N/A|2014/10/26|2014/11/21
31993961|20201123|2020 Apr|2019/09/04|2020/01/15|2020/01/30
8681317|19960816|1996|N/A|N/A|1996/01/01
