*** COUNTS ***
6234×2 DataFrame
  Row │ PM          N
      │ String15    Int64
──────┼───────────────────
    1 │ 1945/01/01      3
    2 │ 1945/08/01      1
    3 │ 1945/11/01      3
    4 │ 1945/12/01      1
    5 │ 1946/01/01      2
    6 │ 1946/02/01      2
    7 │ 1946/03/21      1
    8 │ 1946/04/01      2
    9 │ 1946/04/24      1
   10 │ 1946/05/01      1
   11 │ 1946/06/01      2
   12 │ 1946/07/01      8
   13 │ 1946/08/01      3
   14 │ 1946/09/01      1
   15 │ 1946/10/01      3
   16 │ 1946/10/10      2
   17 │ 1947/01/01      6
   18 │ 1947/02/01      2
   19 │ 1947/03/01      3
   20 │ 1947/04/01      4
   21 │ 1947/05/01      1
   22 │ 1947/05/03      1
   23 │ 1947/05/15      1
   24 │ 1947/06/01      2
   25 │ 1947/06/02      1
   26 │ 1947/06/07      1
   27 │ 1947/06/14      1
   28 │ 1947/07/01      4
   29 │ 1947/07/26      1
   30 │ 1947/08/01      2
   31 │ 1947/08/11      2
   32 │ 1947/08/15      1
   33 │ 1947/09/01      4
   34 │ 1947/10/01      4
   35 │ 1947/10/04      1
   36 │ 1947/10/15      1
   37 │ 1947/11/01      2
   38 │ 1947/12/01      4
   39 │ 1947/12/04      1
   40 │ 1947/12/13      1
   41 │ 1948/01/01      9
   42 │ 1948/02/01      3
   43 │ 1948/03/01      1
   44 │ 1948/03/13      1
   45 │ 1948/04/01      4
   46 │ 1948/05/01      4
   47 │ 1948/05/15      2
   48 │ 1948/06/11      1
   49 │ 1948/07/01      2
   50 │ 1948/08/01      1
   51 │ 1948/08/04      1
   52 │ 1948/09/01      6
   53 │ 1948/10/01      1
   54 │ 1948/11/01      2
   55 │ 1948/12/01      2
   56 │ 1948/12/09      1
   57 │ 1949/01/01      2
   58 │ 1949/02/01      3
   59 │ 1949/02/02      1
   60 │ 1949/03/01      3
   61 │ 1949/03/17      1
   62 │ 1949/04/01      2
   63 │ 1949/05/01      1
   64 │ 1949/06/01      3
   65 │ 1949/07/01      3
   66 │ 1949/08/01      1
   67 │ 1949/09/01      1
   68 │ 1949/10/01      2
   69 │ 1949/11/01      2
   70 │ 1949/11/10      1
   71 │ 1949/12/01      1
   72 │ 1950/01/01      9
   73 │ 1950/02/07      1
   74 │ 1950/03/01      1
   75 │ 1950/04/01      2
   76 │ 1950/04/20      1
   77 │ 1950/04/21      1
   78 │ 1950/04/27      1
   79 │ 1950/05/01      1
   80 │ 1950/05/04      1
   81 │ 1950/05/10      1
   82 │ 1950/05/19      1
   83 │ 1950/05/28      1
   84 │ 1950/06/01      3
   85 │ 1950/06/10      1
   86 │ 1950/07/01      5
   87 │ 1950/07/07      1
   88 │ 1950/07/15      1
   89 │ 1950/07/29      1
   90 │ 1950/08/01      5
   91 │ 1950/08/15      1
   92 │ 1950/09/01      5
   93 │ 1950/09/08      1
   94 │ 1950/09/09      1
   95 │ 1950/09/15      1
   96 │ 1950/10/01      2
   97 │ 1950/10/26      1
   98 │ 1950/11/01      5
   99 │ 1950/11/24      1
  100 │ 1950/12/01      2
  101 │ 1950/12/10      1
  102 │ 1950/12/15      1
  103 │ 1950/12/16      1
  104 │ 1950/12/21      1
  105 │ 1951/01/01     10
  106 │ 1951/01/12      1
  107 │ 1951/01/15      1
  108 │ 1951/01/19      1
  109 │ 1951/01/20      1
  110 │ 1951/02/01      2
  111 │ 1951/02/16      1
  112 │ 1951/02/24      1
  113 │ 1951/03/01      2
  114 │ 1951/03/08      1
  115 │ 1951/03/15      2
  116 │ 1951/04/01      3
  117 │ 1951/04/27      1
  118 │ 1951/05/01      7
  119 │ 1951/05/18      1
  120 │ 1951/05/24      1
  121 │ 1951/06/01      6
  122 │ 1951/06/30      1
  123 │ 1951/07/01      6
  124 │ 1951/07/19      1
  125 │ 1951/07/23      1
  126 │ 1951/07/26      1
  127 │ 1951/08/01      5
  128 │ 1951/08/12      1
  129 │ 1951/08/15      1
  130 │ 1951/08/25      1
  131 │ 1951/09/01      1
  132 │ 1951/09/06      1
  133 │ 1951/10/01      1
  134 │ 1951/10/13      1
  135 │ 1951/10/20      1
  136 │ 1951/11/01      2
  137 │ 1951/12/01      3
  138 │ 1952/01/01      5
  139 │ 1952/01/11      2
